,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,neutral
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
96,1989-90,1989-11-18,,Nevada-Las Vegas,1,,DePaul,,W,,88,53,35,,,True
97,1989-90,1989-11-22,,Kansas,,,Nevada-Las Vegas,1,W,,91,77,14,,,True
98,1989-90,1989-11-23,,George Mason,,,East Carolina,,W,,66,62,4,,,True
99,1989-90,1989-11-23,,Maryland,,,East Tennessee State,,W,,91,86,5,,,True
100,1989-90,1989-11-24,,Florida A&M,,,Bethune-Cookman,,W,,94,81,13,,,True
101,1989-90,1989-11-24,,Bowling Green State,,,Jacksonville,,W,,87,75,12,,,True
102,1989-90,1989-11-24,,Kansas State,,,Florida State,,W,,71,70,1,,,True
103,1989-90,1989-11-24,,Louisiana,,,Mississippi,,W,,94,83,11,,,True
0,1989-90,1989-11-24,,Mississippi State,,,Louisiana-Monroe,,W,,75,68,7,,,True
1,1989-90,1989-11-24,,Marshall,,,Army,,W,,81,74,7,,,True
2,1989-90,1989-11-24,,Michigan State,,,Auburn,,W,,92,79,13,,,True
3,1989-90,1989-11-24,,Missouri,11,,Evansville,,W,,68,53,15,,,True
4,1989-90,1989-11-24,,La Salle,,,Missouri State,,W,,62,58,4,,,True
5,1989-90,1989-11-24,,North Carolina,7,,James Madison,,W,,80,79,1,,,True
6,1989-90,1989-11-24,,Northern Arizona,,,Charleston Southern,,W,,65,64,1,,,True
7,1989-90,1989-11-24,,Stetson,,,Bradley,,W,,74,67,7,,,True
8,1989-90,1989-11-24,,Tennessee,,,Austin Peay,,W,,71,69,2,,,True
9,1989-90,1989-11-24,,Texas A&M,,,Connecticut,,W,,92,81,11,,,True
10,1989-90,1989-11-24,,Villanova,,,San Diego State,,W,,66,58,8,,,True
11,1989-90,1989-11-24,,Alabama,,,Western Kentucky,,W,,79,72,7,,,True
12,1989-90,1989-11-24,,Monmouth,,,Western Michigan,,W,,76,72,4,,,True
13,1989-90,1989-11-24,,Eastern Michigan,,,Wisconsin,,W,,71,52,19,,,True
14,1989-90,1989-11-25,,Connecticut,,,Auburn,,W,,95,91,4,,,True
15,1989-90,1989-11-25,,Alabama,,,Eastern Michigan,,W,,64,61,3,,,True
16,1989-90,1989-11-25,,Kansas State,,,Hawaii,,W,,79,76,3,,,True
17,1989-90,1989-11-25,,Baylor,,,Louisiana-Monroe,,W,,69,68,1,,,True
18,1989-90,1989-11-25,,Arizona,6,,Michigan,4,W,,82,75,7,,,True
19,1989-90,1989-11-25,,Missouri,11,,Louisville,12,W,,82,79,3,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,1989-90,1989-11-25,,Missouri State,,,Saint Mary's (CA),,W,,52,35,17,,,True
22,1989-90,1989-11-25,,Jacksonville,,,New Hampshire,,W,,57,49,8,,,True
23,1989-90,1989-11-25,,Army,,,Northeastern,,W,,66,65,1,,,True
24,1989-90,1989-11-25,,James Madison,,,San Diego State,,W,,56,53,3,,,True
25,1989-90,1989-11-25,,Clemson,,,Stetson,,W,,74,61,13,,,True
26,1989-90,1989-11-25,,Austin Peay,,,Tennessee State,,W,,83,79,4,,,True
27,1989-90,1989-11-25,,Michigan State,,,Texas A&M,,W,,87,75,12,,,True
28,1989-90,1989-11-25,,North Carolina,7,,Villanova,,W,,78,68,10,,,True
29,1989-90,1989-11-25,,Wisconsin,,,Western Kentucky,,W,,73,62,11,,,True
30,1989-90,1989-11-25,,Western Michigan,,,Hardin-Simmons,,W,,64,54,10,,,True
31,1989-90,1989-11-26,,Alabama,,,Clemson,,W,,57,48,9,,,True
32,1989-90,1989-11-26,,Connecticut,,,Florida State,,W,,63,60,3,,,True
33,1989-90,1989-11-26,,James Madison,,,Evansville,,W,,70,60,10,,,True
34,1989-90,1989-11-26,,Missouri,11,,North Carolina,7,W,,80,73,7,,,True
35,1989-90,1989-11-26,,Eastern Michigan,,,Stetson,,W,,88,83,5,,,True
36,1989-90,1989-11-26,,Hawaii,,,Texas A&M,,W,,75,71,4,,,True
37,1989-90,1989-11-26,,Louisville,12,,Villanova,,W,,83,69,14,,,True
38,1989-90,1989-11-26,,Wisconsin,,,Bradley,,W,,63,57,6,,,True
39,1989-90,1989-11-27,,Michigan State,,,Kansas State,,W,,73,68,5,,,True
40,1989-90,1989-12-01,,Sam Houston State,,,U.S. International,,W,,112,94,18,,,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
42,1989-90,1989-12-01,,UC Santa Barbara,,,Bradley,,W,,86,60,26,,,True
43,1989-90,1989-12-01,,Chattanooga,,,Navy,,W,,86,81,5,,,True
44,1989-90,1989-12-01,,Colorado State,,,Eastern Kentucky,,W,,75,66,9,,,True
45,1989-90,1989-12-01,,Marist,,,Drexel,,W,,74,72,2,,,True
46,1989-90,1989-12-01,,Coppin State,,,Morehead State,,W,,79,70,9,,,True
47,1989-90,1989-12-01,,New Orleans,,,Nicholls State,,W,,63,44,19,,,True
48,1989-90,1989-12-01,,NC State,25,,Ohio State,,W,,68,54,14,,,True
49,1989-90,1989-12-01,,Pacific,,,George Mason,,W,,66,58,8,,,True
50,1989-90,1989-12-01,,Pepperdine,,,Air Force,,W,,82,75,7,,,True
51,1989-90,1989-12-01,,Pittsburgh,18,,Oklahoma State,23,W,,102,90,12,,,True
52,1989-90,1989-12-01,,South Carolina,,,Maryland,,W,,52,51,1,,,True
53,1989-90,1989-12-01,,Louisiana Tech,,,Southern Methodist,,W,,71,68,3,,,True
54,1989-90,1989-12-01,,Loyola Marymount,,,Stetson,,W,,125,95,30,,,True
55,1989-90,1989-12-01,,Temple,16,,Arkansas State,,W,,65,41,24,,,True
56,1989-90,1989-12-01,,Texas-Rio Grande Valley,,,Texas A&M,,W,,97,79,18,,,True
57,1989-90,1989-12-01,,Georgia,,,TCU,,W,,77,72,5,,,True
58,1989-90,1989-12-01,,Texas Tech,,,Portland,,W,,94,58,36,,,True
59,1989-90,1989-12-01,,Kent State,,,Wichita State,,W,,77,65,12,,,True
60,1989-90,1989-12-01,,Wisconsin,,,Gonzaga,,W,,63,58,5,,,True
61,1989-90,1989-12-02,,Mercer,,,U.S. International,,W,,55,53,2,,,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
63,1989-90,1989-12-02,,Brown,,,Drexel,,W,,73,68,5,,,True
64,1989-90,1989-12-02,,Air Force,,,Harvard,,W,,73,71,2,,,True
