,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,neutral
0,0,20,96,1989-90,1989-11-18,,Nevada-Las Vegas,1.0,,DePaul,,W,,88,53,35,,,True
1,1,21,97,1989-90,1989-11-22,,Kansas,,,Nevada-Las Vegas,1.0,W,,91,77,14,,,True
2,2,22,98,1989-90,1989-11-23,,George Mason,,,East Carolina,,W,,66,62,4,,,True
3,3,23,99,1989-90,1989-11-23,,Maryland,,,East Tennessee State,,W,,91,86,5,,,True
4,4,24,100,1989-90,1989-11-24,,Florida A&M,,,Bethune-Cookman,,W,,94,81,13,,,True
5,5,25,101,1989-90,1989-11-24,,Bowling Green State,,,Jacksonville,,W,,87,75,12,,,True
6,6,26,102,1989-90,1989-11-24,,Kansas State,,,Florida State,,W,,71,70,1,,,True
7,7,27,103,1989-90,1989-11-24,,Louisiana,,,Mississippi,,W,,94,83,11,,,True
8,8,28,0,1989-90,1989-11-24,,Mississippi State,,,Louisiana-Monroe,,W,,75,68,7,,,True
9,9,29,1,1989-90,1989-11-24,,Marshall,,,Army,,W,,81,74,7,,,True
10,10,30,2,1989-90,1989-11-24,,Michigan State,,,Auburn,,W,,92,79,13,,,True
11,11,31,3,1989-90,1989-11-24,,Missouri,11.0,,Evansville,,W,,68,53,15,,,True
12,12,32,4,1989-90,1989-11-24,,La Salle,,,Missouri State,,W,,62,58,4,,,True
13,13,33,5,1989-90,1989-11-24,,North Carolina,7.0,,James Madison,,W,,80,79,1,,,True
14,14,34,6,1989-90,1989-11-24,,Northern Arizona,,,Charleston Southern,,W,,65,64,1,,,True
15,15,35,7,1989-90,1989-11-24,,Stetson,,,Bradley,,W,,74,67,7,,,True
16,16,36,8,1989-90,1989-11-24,,Tennessee,,,Austin Peay,,W,,71,69,2,,,True
17,17,37,9,1989-90,1989-11-24,,Texas A&M,,,Connecticut,,W,,92,81,11,,,True
18,18,38,10,1989-90,1989-11-24,,Villanova,,,San Diego State,,W,,66,58,8,,,True
19,19,39,11,1989-90,1989-11-24,,Alabama,,,Western Kentucky,,W,,79,72,7,,,True
20,20,40,12,1989-90,1989-11-24,,Monmouth,,,Western Michigan,,W,,76,72,4,,,True
21,21,41,13,1989-90,1989-11-24,,Eastern Michigan,,,Wisconsin,,W,,71,52,19,,,True
22,22,42,14,1989-90,1989-11-25,,Connecticut,,,Auburn,,W,,95,91,4,,,True
23,23,43,15,1989-90,1989-11-25,,Alabama,,,Eastern Michigan,,W,,64,61,3,,,True
24,24,44,16,1989-90,1989-11-25,,Kansas State,,,Hawaii,,W,,79,76,3,,,True
25,25,45,17,1989-90,1989-11-25,,Baylor,,,Louisiana-Monroe,,W,,69,68,1,,,True
26,26,46,18,1989-90,1989-11-25,,Arizona,6.0,,Michigan,4.0,W,,82,75,7,,,True
27,27,47,19,1989-90,1989-11-25,,Missouri,11.0,,Louisville,12.0,W,,82,79,3,,,True
28,28,49,21,1989-90,1989-11-25,,Missouri State,,,Saint Mary's (CA),,W,,52,35,17,,,True
29,29,50,22,1989-90,1989-11-25,,Jacksonville,,,New Hampshire,,W,,57,49,8,,,True
30,30,51,23,1989-90,1989-11-25,,Army,,,Northeastern,,W,,66,65,1,,,True
31,31,52,24,1989-90,1989-11-25,,James Madison,,,San Diego State,,W,,56,53,3,,,True
32,32,53,25,1989-90,1989-11-25,,Clemson,,,Stetson,,W,,74,61,13,,,True
33,33,54,26,1989-90,1989-11-25,,Austin Peay,,,Tennessee State,,W,,83,79,4,,,True
34,34,55,27,1989-90,1989-11-25,,Michigan State,,,Texas A&M,,W,,87,75,12,,,True
35,35,56,28,1989-90,1989-11-25,,North Carolina,7.0,,Villanova,,W,,78,68,10,,,True
36,36,57,29,1989-90,1989-11-25,,Wisconsin,,,Western Kentucky,,W,,73,62,11,,,True
37,37,58,30,1989-90,1989-11-25,,Western Michigan,,,Hardin-Simmons,,W,,64,54,10,,,True
38,38,59,31,1989-90,1989-11-26,,Alabama,,,Clemson,,W,,57,48,9,,,True
39,39,60,32,1989-90,1989-11-26,,Connecticut,,,Florida State,,W,,63,60,3,,,True
40,40,61,33,1989-90,1989-11-26,,James Madison,,,Evansville,,W,,70,60,10,,,True
41,41,62,34,1989-90,1989-11-26,,Missouri,11.0,,North Carolina,7.0,W,,80,73,7,,,True
42,42,63,35,1989-90,1989-11-26,,Eastern Michigan,,,Stetson,,W,,88,83,5,,,True
43,43,64,36,1989-90,1989-11-26,,Hawaii,,,Texas A&M,,W,,75,71,4,,,True
44,44,65,37,1989-90,1989-11-26,,Louisville,12.0,,Villanova,,W,,83,69,14,,,True
45,45,66,38,1989-90,1989-11-26,,Wisconsin,,,Bradley,,W,,63,57,6,,,True
46,46,67,39,1989-90,1989-11-27,,Michigan State,,,Kansas State,,W,,73,68,5,,,True
47,47,68,40,1989-90,1989-12-01,,Sam Houston State,,,U.S. International,,W,,112,94,18,,,True
48,48,70,42,1989-90,1989-12-01,,UC Santa Barbara,,,Bradley,,W,,86,60,26,,,True
49,49,71,43,1989-90,1989-12-01,,Chattanooga,,,Navy,,W,,86,81,5,,,True
50,50,72,44,1989-90,1989-12-01,,Colorado State,,,Eastern Kentucky,,W,,75,66,9,,,True
51,51,73,45,1989-90,1989-12-01,,Marist,,,Drexel,,W,,74,72,2,,,True
52,52,74,46,1989-90,1989-12-01,,Coppin State,,,Morehead State,,W,,79,70,9,,,True
53,53,75,47,1989-90,1989-12-01,,New Orleans,,,Nicholls State,,W,,63,44,19,,,True
54,54,76,48,1989-90,1989-12-01,,NC State,25.0,,Ohio State,,W,,68,54,14,,,True
55,55,77,49,1989-90,1989-12-01,,Pacific,,,George Mason,,W,,66,58,8,,,True
56,56,78,50,1989-90,1989-12-01,,Pepperdine,,,Air Force,,W,,82,75,7,,,True
57,57,79,51,1989-90,1989-12-01,,Pittsburgh,18.0,,Oklahoma State,23.0,W,,102,90,12,,,True
58,58,80,52,1989-90,1989-12-01,,South Carolina,,,Maryland,,W,,52,51,1,,,True
59,59,81,53,1989-90,1989-12-01,,Louisiana Tech,,,Southern Methodist,,W,,71,68,3,,,True
60,60,82,54,1989-90,1989-12-01,,Loyola Marymount,,,Stetson,,W,,125,95,30,,,True
61,61,83,55,1989-90,1989-12-01,,Temple,16.0,,Arkansas State,,W,,65,41,24,,,True
62,62,84,56,1989-90,1989-12-01,,Texas-Rio Grande Valley,,,Texas A&M,,W,,97,79,18,,,True
63,63,85,57,1989-90,1989-12-01,,Georgia,,,TCU,,W,,77,72,5,,,True
64,64,86,58,1989-90,1989-12-01,,Texas Tech,,,Portland,,W,,94,58,36,,,True
65,65,87,59,1989-90,1989-12-01,,Kent State,,,Wichita State,,W,,77,65,12,,,True
66,66,88,60,1989-90,1989-12-01,,Wisconsin,,,Gonzaga,,W,,63,58,5,,,True
67,67,89,61,1989-90,1989-12-02,,Mercer,,,U.S. International,,W,,55,53,2,,,True
68,68,91,63,1989-90,1989-12-02,,Brown,,,Drexel,,W,,73,68,5,,,True
69,69,92,64,1989-90,1989-12-02,,Air Force,,,Harvard,,W,,73,71,2,,,True
70,70,93,65,1989-90,1989-12-02,,Indiana,14.0,,Kentucky,,W,,71,69,2,,,True
71,71,94,66,1989-90,1989-12-02,,George Mason,,,Jackson State,,W,,92,87,5,,,True
72,72,95,67,1989-90,1989-12-02,,Maryland,,,Army,,W,,78,60,18,,,True
73,73,96,68,1989-90,1989-12-02,,Hardin-Simmons,,,Morehead State,,W,,71,69,2,,,True
74,74,97,69,1989-90,1989-12-02,,Bucknell,,,Navy,,W,,67,66,1,,,True
75,75,98,70,1989-90,1989-12-02,,Gonzaga,,,UNC Wilmington,,W,,55,48,7,,,True
76,76,99,71,1989-90,1989-12-02,,Louisville,13.0,,Notre Dame,19.0,W,,84,73,11,,,True
77,77,100,72,1989-90,1989-12-02,,Ohio,,,Bradley,,W,,72,53,19,,,True
78,78,101,73,1989-90,1989-12-02,,Oklahoma State,23.0,,Ohio State,,W,,81,59,22,,,True
79,79,102,74,1989-90,1989-12-02,,NC State,25.0,,Pittsburgh,18.0,W,,100,87,13,,,True
80,80,103,75,1989-90,1989-12-02,,Columbia,,,Portland,,W,,78,67,11,,,True
81,81,104,76,1989-90,1989-12-02,,Lehigh,,,Southern Methodist,,W,,69,49,20,,,True
82,82,105,77,1989-90,1989-12-02,,Stetson,,,Campbell,,W,,77,63,14,,,True
83,83,106,78,1989-90,1989-12-02,,Texas A&M,,,Idaho State,,W,,84,69,15,,,True
84,84,107,79,1989-90,1989-12-02,,TCU,,,Mississippi Valley State,,W,,90,75,15,,,True
85,85,108,80,1989-90,1989-12-02,,Arkansas State,,,Virginia Commonwealth,,W,,82,66,16,,,True
86,86,109,81,1989-90,1989-12-02,,James Madison,,,Virginia Military Institute,,W,,91,61,30,,,True
87,87,110,82,1989-90,1989-12-02,,Wagner,,,Nicholls State,,W,,70,63,7,,,True
88,88,112,84,1989-90,1989-12-02,,Old Dominion,,,West Virginia,,W,,73,69,4,,,True
89,89,113,85,1989-90,1989-12-02,,Wichita State,,,Colgate,,W,,101,87,14,,,True
90,90,114,86,1989-90,1989-12-02,,Wright State,,,South Alabama,,W,,96,82,14,,,True
91,91,115,87,1989-90,1989-12-03,,South Alabama,,,San Diego,,W,,77,72,5,,,True
92,92,116,88,1989-90,1989-12-04,,Georgia Tech,18.0,,Pittsburgh,22.0,W,,93,92,1,,,True
93,93,117,89,1989-90,1989-12-05,,NC State,19.0,,St. John's (NY),15.0,W,,67,58,9,,,True
94,94,118,90,1989-90,1989-12-05,,Seton Hall,,,Wake Forest,,W,,76,74,2,,,True
95,95,119,91,1989-90,1989-12-06,,Clemson,,,Providence,,W,,72,71,1,,,True
96,96,120,92,1989-90,1989-12-06,,Syracuse,1.0,,Duke,6.0,W,,78,76,2,,,True
97,97,121,93,1989-90,1989-12-07,,Georgetown,3.0,,North Carolina,17.0,W,,93,81,12,,,True
98,98,122,94,1989-90,1989-12-07,,Virginia,,,Villanova,,W,,73,65,8,,,True
99,99,123,95,1989-90,1989-12-08,,Boston University,,,East Tennessee State,,W,,78,73,5,,,True
100,100,124,96,1989-90,1989-12-08,,UAB,,,Georgia Southern,,W,,79,53,26,,,True
101,101,125,97,1989-90,1989-12-08,,Hawaii,,,George Washington,,W,,86,64,22,,,True
102,102,126,98,1989-90,1989-12-08,,Columbia,,,Howard,,W,,69,68,1,,,True
103,103,127,99,1989-90,1989-12-08,,Jackson State,,,Long Island University,,W,,85,73,12,,,True
104,104,128,100,1989-90,1989-12-08,,Morgan State,,,Georgia State,,W,,89,76,13,,,True
105,105,129,101,1989-90,1989-12-08,,Long Beach State,,,New Hampshire,,W,,68,47,21,,,True
106,106,130,102,1989-90,1989-12-08,,Eastern Michigan,,,St. Francis (NY),,W,,107,85,22,,,True
107,107,131,103,1989-90,1989-12-08,,Tulane,,,Tennessee Tech,,W,,93,91,2,,,True
108,108,132,0,1989-90,1989-12-08,,UTSA,,,Texas State,,W,,97,78,19,,,True
109,109,133,1,1989-90,1989-12-08,,Towson,,,Maryland-Baltimore County,,W,,100,97,3,,,True
110,110,134,2,1989-90,1989-12-08,,Colorado,,,Utah State,,W,,104,90,14,,,True
111,111,135,3,1989-90,1989-12-08,,Centenary (LA),,,Washington State,,W,,94,77,17,,,True
112,112,136,4,1989-90,1989-12-08,,Creighton,,,Western Michigan,,W,,98,87,11,,,True
113,113,137,5,1989-90,1989-12-09,,Auburn,,,Duquesne,,W,,79,74,5,,,True
114,114,138,6,1989-90,1989-12-09,,Alabama,21.0,,Eastern Kentucky,,W,,71,52,19,,,True
115,115,139,7,1989-90,1989-12-09,,Hawaii,,,Colorado,,W,,86,77,9,,,True
116,116,140,8,1989-90,1989-12-09,,Florida,25.0,,James Madison,,W,,85,77,8,,,True
117,117,141,9,1989-90,1989-12-09,,Maryland-Baltimore County,,,Loyola (MD),,W,,95,84,11,,,True
118,118,142,10,1989-90,1989-12-09,,Mercer,,,Long Island University,,W,,70,69,1,,,True
119,119,143,11,1989-90,1989-12-09,,Mississippi,,,Indiana State,,W,,70,64,6,,,True
120,120,144,12,1989-90,1989-12-09,,East Tennessee State,,,Monmouth,,W,,79,67,12,,,True
121,121,145,13,1989-90,1989-12-09,,Georgia Southern,,,North Texas,,W,,92,74,18,,,True
122,122,146,14,1989-90,1989-12-09,,Northwestern,,,Loyola (IL),,W,,85,65,20,,,True
123,123,147,15,1989-90,1989-12-09,,Rhode Island,,,Providence,,W,,78,77,1,,,True
124,124,148,16,1989-90,1989-12-09,,New Hampshire,,,South Alabama,,W,,66,65,1,,,True
125,125,149,17,1989-90,1989-12-09,,St. Francis (NY),,,Bethune-Cookman,,W,,97,93,4,,,True
126,126,150,18,1989-90,1989-12-09,,Tennessee State,,,Morgan State,,W,,88,65,23,,,True
127,127,151,19,1989-90,1989-12-09,,Tennessee Tech,,,Mississippi Valley State,,W,,95,90,5,,,True
128,128,153,21,1989-90,1989-12-09,,Texas State,,,Manhattan,,W,,76,74,2,,,True
129,129,154,22,1989-90,1989-12-09,,Towson,,,Mount St. Mary's,,W,,81,68,13,,,True
130,130,155,23,1989-90,1989-12-09,,George Washington,,,Utah State,,W,,83,76,7,,,True
131,131,156,24,1989-90,1989-12-09,,Vermont,,,Howard,,W,,86,57,29,,,True
132,132,157,25,1989-90,1989-12-09,,Washington State,,,Texas Southern,,W,,88,75,13,,,True
133,133,158,26,1989-90,1989-12-09,,Southern Utah,,,Western Michigan,,W,,96,81,15,,,True
134,134,159,27,1989-90,1989-12-15,,Louisiana Tech,,,Saint Mary's (CA),,W,,69,55,14,,,True
135,135,160,28,1989-90,1989-12-15,,South Carolina State,,,Grambling,,W,,99,98,1,,,True
136,136,161,29,1989-90,1989-12-15,,Tennessee State,,,Howard,,W,,88,68,20,,,True
137,137,162,30,1989-90,1989-12-16,,Howard,,,Central Florida,,W,,81,65,16,,,True
138,138,163,31,1989-90,1989-12-16,,Little Rock,,,Saint Mary's (CA),,W,,91,69,22,,,True
139,139,164,32,1989-90,1989-12-16,,Texas A&M,,,Long Island University,,W,,99,96,3,,,True
140,140,165,33,1989-90,1989-12-17,,Louisiana Tech,,,Little Rock,,W,,94,83,11,,,True
141,141,166,34,1989-90,1989-12-17,,Dartmouth,,,Texas A&M,,W,,64,51,13,,,True
142,142,167,35,1989-90,1989-12-20,,Illinois,5.0,,Missouri,4.0,W,,101,93,8,,,True
143,143,168,36,1989-90,1989-12-20,,Texas A&M,,,Holy Cross,,W,,96,93,3,,,True
144,144,169,37,1989-90,1989-12-21,,Central Michigan,,,Appalachian State,,W,,77,69,8,,,True
145,145,170,38,1989-90,1989-12-21,,Tennessee Tech,,,Auburn,,W,,72,70,2,,,True
146,146,171,39,1989-90,1989-12-21,,San Diego State,,,Texas State,,W,,67,53,14,,,True
147,147,172,40,1989-90,1989-12-21,,Old Dominion,,,Virginia Commonwealth,,W,,77,67,10,,,True
148,148,174,42,1989-90,1989-12-22,,Detroit Mercy,,,Dartmouth,,W,,80,67,13,,,True
149,149,175,43,1989-90,1989-12-22,,East Tennessee State,,,East Carolina,,W,,86,80,6,,,True
150,150,176,44,1989-90,1989-12-22,,Holy Cross,,,Georgia State,,W,,101,94,7,,,True
151,151,177,45,1989-90,1989-12-22,,Louisiana,,,Cincinnati,,W,,89,88,1,,,True
152,152,178,46,1989-90,1989-12-22,,Maryland,,,George Mason,,W,,104,86,18,,,True
153,153,179,47,1989-90,1989-12-22,,Appalachian State,,,Nicholls State,,W,,83,66,17,,,True
154,154,180,48,1989-90,1989-12-22,,Hawaii,,,Southern Illinois,,W,,84,71,13,,,True
155,155,181,49,1989-90,1989-12-22,,Penn State,,,Texas State,,W,,62,37,25,,,True
156,156,182,50,1989-90,1989-12-22,,Xavier,,,Princeton,,W,,72,65,7,,,True
157,157,183,51,1989-90,1989-12-23,,Coppin State,,,Cornell,,W,,86,79,7,,,True
158,158,184,52,1989-90,1989-12-23,,Maine,,,Dartmouth,,W,,73,72,1,,,True
159,159,185,53,1989-90,1989-12-23,,North Carolina,,,Kansas State,,W,,79,63,16,,,True
160,160,186,54,1989-90,1989-12-23,,Cincinnati,,,Portland,,W,,75,53,22,,,True
161,161,187,55,1989-90,1989-12-23,,Princeton,,,Canisius,,W,,73,59,14,,,True
162,162,188,56,1989-90,1989-12-23,,Michigan,6.0,,Seton Hall,,W,,91,86,5,,,True
163,163,189,57,1989-90,1989-12-23,,Hawaii,,,Western Illinois,,W,,70,54,16,,,True
164,164,190,58,1989-90,1989-12-24,,East Carolina,,,Cornell,,W,,81,59,22,,,True
165,165,191,59,1989-90,1989-12-24,,George Mason,,,Coppin State,,W,,74,59,15,,,True
166,166,192,60,1989-90,1989-12-27,,Illinois State,,,Charlotte,,W,,76,69,7,,,True
167,167,193,61,1989-90,1989-12-27,,Indiana,10.0,,Wichita State,,W,,75,54,21,,,True
168,168,195,63,1989-90,1989-12-27,,North Carolina,24.0,,Kentucky,,W,,121,110,11,,,True
169,169,196,64,1989-90,1989-12-27,,Lehigh,,,Miami (FL),,W,,83,59,24,,,True
170,170,197,65,1989-90,1989-12-27,,Georgia Tech,14.0,,Morehead State,,W,,98,76,22,,,True
171,171,198,66,1989-90,1989-12-27,,Auburn,,,Navy,,W,,75,61,14,,,True
172,172,199,67,1989-90,1989-12-27,,NC State,19.0,,Florida State,,W,,90,72,18,,,True
173,173,200,68,1989-90,1989-12-27,,La Salle,20.0,,Ohio State,,W,,74,62,12,,,True
174,174,201,69,1989-90,1989-12-27,,Oregon,,,Northeastern,,W,,77,74,3,,,True
175,175,202,70,1989-90,1989-12-27,,Oregon State,23.0,,Boston University,,W,,86,66,20,,,True
176,176,203,71,1989-90,1989-12-27,,Louisiana Tech,,,Pepperdine,,W,,76,73,3,,,True
177,177,204,72,1989-90,1989-12-27,,Pittsburgh,,,Oklahoma State,,W,,92,81,11,,,True
178,178,205,73,1989-90,1989-12-27,,Saint Peter's,,,Pacific,,W,,71,70,1,,,True
179,179,206,74,1989-90,1989-12-27,,Seton Hall,,,Rhode Island,,W,,68,62,6,,,True
180,180,207,75,1989-90,1989-12-27,,Southern Mississippi,,,Bucknell,,W,,78,71,7,,,True
181,181,208,76,1989-90,1989-12-27,,Texas A&M,,,Loyola (IL),,W,,64,61,3,,,True
182,182,209,77,1989-90,1989-12-27,,Villanova,,,Clemson,,W,,73,71,2,,,True
183,183,210,78,1989-90,1989-12-27,,West Virginia,,,Boston College,,W,,68,64,4,,,True
184,184,211,79,1989-90,1989-12-28,,Cincinnati,,,Creighton,,W,,60,58,2,,,True
185,185,212,80,1989-90,1989-12-28,,Duke,13.0,,Drake,,W,,101,77,24,,,True
186,186,213,81,1989-90,1989-12-28,,Houston,,,Coastal Carolina,,W,,82,79,3,,,True
187,187,214,82,1989-90,1989-12-28,,Indiana,10.0,,Texas A&M,,W,,94,66,28,,,True
188,188,216,84,1989-90,1989-12-28,,Kansas State,,,Austin Peay,,W,,74,42,32,,,True
189,189,217,85,1989-90,1989-12-28,,La Salle,20.0,,Florida,,W,,76,69,7,,,True
190,190,218,86,1989-90,1989-12-28,,Boston College,,,Miami (FL),,W,,69,60,9,,,True
191,191,219,87,1989-90,1989-12-28,,Bucknell,,,Navy,,W,,89,84,5,,,True
192,192,220,88,1989-90,1989-12-28,,Clemson,,,Niagara,,W,,85,65,20,,,True
193,193,221,89,1989-90,1989-12-28,,Charlotte,,,Northeastern,,W,,85,76,9,,,True
194,194,222,90,1989-90,1989-12-28,,Oklahoma State,,,Morehead State,,W,,84,77,7,,,True
195,195,223,91,1989-90,1989-12-28,,Oregon,,,Illinois State,,W,,81,79,2,,,True
196,196,224,92,1989-90,1989-12-28,,Oregon State,23.0,,Louisiana Tech,,W,,82,81,1,,,True
197,197,225,93,1989-90,1989-12-28,,Boston University,,,Pepperdine,,W,,64,61,3,,,True
198,198,226,94,1989-90,1989-12-28,,Georgia Tech,14.0,,Pittsburgh,,W,,111,92,19,,,True
199,199,227,95,1989-90,1989-12-28,,Florida State,,,Rhode Island,,W,,95,76,19,,,True
200,200,228,96,1989-90,1989-12-28,,NC State,19.0,,Seton Hall,,W,,65,62,3,,,True
201,201,229,97,1989-90,1989-12-28,,Southern Mississippi,,,Auburn,,W,,84,73,11,,,True
202,202,230,98,1989-90,1989-12-28,,Virginia Military Institute,,,Brown,,W,,82,59,23,,,True
203,203,231,99,1989-90,1989-12-28,,Rutgers,,,Virginia Tech,,W,,100,89,11,,,True
204,204,232,100,1989-90,1989-12-28,,Purdue,,,Wake Forest,,W,,66,52,14,,,True
205,205,233,101,1989-90,1989-12-28,,West Virginia,,,Lehigh,,W,,92,81,11,,,True
206,206,234,102,1989-90,1989-12-28,,Wichita State,,,Loyola (IL),,W,,75,59,16,,,True
207,207,235,103,1989-90,1989-12-28,,Georgia,,,Wisconsin,,W,,65,64,1,,,True
208,208,236,0,1989-90,1989-12-29,,Charlotte,,,Boston University,,W,,88,83,5,,,True
209,209,237,1,1989-90,1989-12-29,,Delaware State,,,Brown,,W,,81,76,5,,,True
210,210,238,2,1989-90,1989-12-29,,Creighton,,,Drake,,W,,77,71,6,,,True
211,211,239,3,1989-90,1989-12-29,,Duke,13.0,,Cincinnati,,W,,95,83,12,,,True
212,212,240,4,1989-90,1989-12-29,,Georgia Southern,,,Howard,,W,,85,65,20,,,True
213,213,241,5,1989-90,1989-12-29,,Illinois,4.0,,Grambling,,W,,97,73,24,,,True
214,214,242,6,1989-90,1989-12-29,,Alabama,22.0,,Iona,,W,,78,39,39,,,True
215,215,243,7,1989-90,1989-12-29,,Idaho,,,Kent State,,W,,70,65,5,,,True
216,216,244,8,1989-90,1989-12-29,,Louisiana Tech,,,Illinois State,,W,,90,69,21,,,True
217,217,245,9,1989-90,1989-12-29,,Massachusetts,,,Colorado,,W,,78,71,7,,,True
218,218,246,10,1989-90,1989-12-29,,Memphis,15.0,,Ball State,,W,,76,73,3,,,True
219,219,247,11,1989-90,1989-12-29,,Cal State Fullerton,,,Middle Tennessee,,W,,77,69,8,,,True
220,220,248,12,1989-90,1989-12-29,,Mississippi State,,,Delaware,,W,,66,65,1,,,True
221,221,249,13,1989-90,1989-12-29,,Colorado State,,,North Carolina,24.0,W,,78,67,11,,,True
222,222,250,14,1989-90,1989-12-29,,UNC Wilmington,,,Duquesne,,W,,85,67,18,,,True
223,223,251,15,1989-90,1989-12-29,,Georgetown,3.0,,Northern Iowa,,W,,83,49,34,,,True
224,224,252,16,1989-90,1989-12-29,,Oklahoma,6.0,,North Texas,,W,,147,94,53,,,True
225,225,253,17,1989-90,1989-12-29,,Oregon State,23.0,,Oregon,,W,,71,68,3,,,True
226,226,254,18,1989-90,1989-12-29,,Pepperdine,,,Northeastern,,W,,105,79,26,,,True
227,227,255,19,1989-90,1989-12-29,,Princeton,,,Little Rock,,W,,59,56,3,,,True
228,228,257,21,1989-90,1989-12-29,,Alabama State,,,Rice,,W,,81,78,3,,,True
229,229,258,22,1989-90,1989-12-29,,Siena,,,American,,W,,79,71,8,,,True
230,230,259,23,1989-90,1989-12-29,,South Carolina,,,Kansas State,,W,,62,60,2,,,True
231,231,260,24,1989-90,1989-12-29,,Southern Illinois,,,Air Force,,W,,89,74,15,,,True
232,232,261,25,1989-90,1989-12-29,,Stanford,,,Kansas City,,W,,70,50,20,,,True
233,233,262,26,1989-90,1989-12-29,,Kansas,2.0,,Texas-Rio Grande Valley,,W,,103,83,20,,,True
234,234,263,27,1989-90,1989-12-29,,Murray State,,,UTSA,,W,,107,101,6,,,True
235,235,264,28,1989-90,1989-12-29,,Tulsa,,,Arkansas State,,W,,73,61,12,,,True
236,236,265,29,1989-90,1989-12-29,,Virginia Tech,,,San Francisco,,W,,78,77,1,,,True
237,237,266,30,1989-90,1989-12-29,,Penn State,,,Wake Forest,,W,,67,63,4,,,True
238,238,267,31,1989-90,1989-12-29,,Washington State,,,Ohio,,W,,72,69,3,,,True
239,239,268,32,1989-90,1989-12-29,,Coastal Carolina,,,Western Carolina,,W,,67,63,4,,,True
240,240,269,33,1989-90,1989-12-29,,Northwestern,,,William & Mary,,W,,103,78,25,,,True
241,241,270,34,1989-90,1989-12-29,,Wisconsin,,,Manhattan,,W,,63,48,15,,,True
242,242,271,35,1989-90,1989-12-29,,Wyoming,,,Louisiana-Monroe,,W,,75,66,9,,,True
243,243,272,36,1989-90,1989-12-30,,Ball State,,,Grambling,,W,,79,56,23,,,True
244,244,273,37,1989-90,1989-12-30,,Idaho,,,Brooklyn,,W,,93,62,31,,,True
245,245,274,38,1989-90,1989-12-30,,Louisiana-Monroe,,,Middle Tennessee,,W,,81,70,11,,,True
246,246,275,39,1989-90,1989-12-30,,Colorado State,,,Massachusetts,,W,,77,51,26,,,True
247,247,276,40,1989-90,1989-12-30,,Illinois,4.0,,Memphis,15.0,W,,83,71,12,,,True
248,248,278,42,1989-90,1989-12-30,,North Carolina,24.0,,Colorado,,W,,106,101,5,,,True
249,249,279,43,1989-90,1989-12-30,,Arkansas State,,,North Texas,,W,,71,66,5,,,True
250,250,280,44,1989-90,1989-12-30,,Ohio,,,Fordham,,W,,79,73,6,,,True
251,251,281,45,1989-90,1989-12-30,,Oklahoma,6.0,,Tulsa,,W,,99,78,21,,,True
252,252,282,46,1989-90,1989-12-30,,Iona,,,Pennsylvania,,W,,52,49,3,,,True
253,253,283,47,1989-90,1989-12-30,,Rice,,,New Hampshire,,W,,57,52,5,,,True
254,254,284,48,1989-90,1989-12-30,,Cincinnati,,,Rutgers,,W,,79,71,8,,,True
255,255,285,49,1989-90,1989-12-30,,Delaware,,,Saint Joseph's,,W,,68,50,18,,,True
256,256,286,50,1989-90,1989-12-30,,Drake,,,San Francisco,,W,,73,59,14,,,True
257,257,287,51,1989-90,1989-12-30,,Little Rock,,,San Jose State,,W,,90,80,10,,,True
258,258,288,52,1989-90,1989-12-30,,Siena,,,Radford,,W,,74,72,2,,,True
259,259,289,53,1989-90,1989-12-30,,St. Bonaventure,,,Air Force,,W,,79,63,16,,,True
260,260,290,54,1989-90,1989-12-30,,Kansas,2.0,,Stanford,,W,,83,61,22,,,True
261,261,291,55,1989-90,1989-12-30,,UNC Wilmington,,,UT Arlington,,W,,66,64,2,,,True
262,262,292,56,1989-90,1989-12-30,,Texas-Rio Grande Valley,,,Kansas City,,W,,60,53,7,,,True
263,263,293,57,1989-90,1989-12-30,,UTSA,,,Stephen F. Austin,,W,,94,81,13,,,True
264,264,294,58,1989-90,1989-12-30,,Howard,,,Vermont,,W,,71,68,3,,,True
265,265,295,59,1989-90,1989-12-30,,Creighton,,,Virginia Tech,,W,,89,84,5,,,True
266,266,296,60,1989-90,1989-12-30,,Wyoming,,,Cal State Fullerton,,W,,69,51,18,,,True
267,267,297,61,1989-90,1990-01-02,,Louisiana State,11.0,,Texas,,W,,124,113,11,,,True
268,268,299,63,1989-90,1990-01-04,,Holy Cross,,,Iona,,W,,89,60,29,,,True
269,269,300,64,1989-90,1990-01-05,,Murray State,,,Alcorn State,,W,,72,60,12,,,True
270,270,301,65,1989-90,1990-01-05,,Seton Hall,,,Saint Peter's,,W,,77,57,20,,,True
271,271,302,66,1989-90,1990-01-05,,Valparaiso,,,Central Florida,,W,,90,89,1,,,True
272,272,303,67,1989-90,1990-01-06,,George Washington,,,Alcorn State,,W,,87,77,10,,,True
273,273,304,68,1989-90,1990-01-06,,James Madison,,,South Alabama,,W,,90,84,6,,,True
274,274,305,69,1989-90,1990-01-06,,NC State,18.0,,Temple,,W,,74,71,3,,,True
275,275,306,70,1989-90,1990-01-16,,Notre Dame,,,Rutgers,,W,,74,69,5,,,True
276,276,307,71,1989-90,1990-01-20,,Louisiana State,13.0,,Notre Dame,,W,,87,64,23,,,True
