,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,neutral
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
42,2000-01,2000-11-09,,Kansas,7,,UCLA,17,W,,99,98,1,,,True
43,2000-01,2000-11-10,,Tulsa,,,Arizona State,,W,,69,67,2,,,True
44,2000-01,2000-11-10,,UCLA,17,,Kentucky,12,W,,97,92,5,,1,True
45,2000-01,2000-11-11,,Arizona State,,,Winthrop,,W,,76,68,8,,,True
46,2000-01,2000-11-16,,Austin Peay,,,Jackson State,,W,,85,63,22,,,True
47,2000-01,2000-11-17,,Charlotte,,,Fordham,,W,,89,75,14,,,True
48,2000-01,2000-11-17,,Columbia,,,Catholic,,W,,63,58,5,,,True
49,2000-01,2000-11-17,,East Carolina,,,Arkansas State,,W,,86,72,14,,,True
50,2000-01,2000-11-17,,Hofstra,,,Northern Illinois,,W,,81,57,24,,,True
51,2000-01,2000-11-17,,Houston,,,Mount St. Mary's,,W,,77,52,25,,,True
52,2000-01,2000-11-17,,La Salle,,,UNC Wilmington,,W,,78,71,7,,,True
53,2000-01,2000-11-17,,Saint Joseph's,,,Western Carolina,,W,,103,53,50,,,True
54,2000-01,2000-11-17,,South Florida,,,Davidson,,W,,96,70,26,,,True
55,2000-01,2000-11-17,,Southern Mississippi,,,Louisiana Tech,,W,,70,63,7,,,True
56,2000-01,2000-11-17,,St. Bonaventure,,,New Mexico State,,W,,68,53,15,,,True
57,2000-01,2000-11-17,,Utah State,,,Santa Clara,,W,,76,67,9,,,True
58,2000-01,2000-11-18,,Arkansas State,,,Dartmouth,,W,,67,49,18,,,True
59,2000-01,2000-11-18,,Austin Peay,,,Colorado,,W,,91,86,5,,,True
60,2000-01,2000-11-18,,Belmont,,,Northern Illinois,,W,,76,72,4,,,True
61,2000-01,2000-11-18,,Fordham,,,Pennsylvania,,W,,81,78,3,,,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
63,2000-01,2000-11-18,,Louisiana Tech,,,Tennessee State,,W,,93,86,7,,,True
64,2000-01,2000-11-18,,Loyola (MD),,,Morgan State,,W,,85,76,9,,,True
65,2000-01,2000-11-18,,UNC Wilmington,,,Alcorn State,,W,,90,64,26,,,True
66,2000-01,2000-11-18,,Santa Clara,,,Davidson,,W,,70,51,19,,,True
67,2000-01,2000-11-18,,Utah State,,,South Florida,,W,,69,66,3,,,True
68,2000-01,2000-11-19,,Austin Peay,,,Utah State,,W,,80,76,4,,1,True
69,2000-01,2000-11-19,,Colorado,,,South Florida,,W,,100,72,28,,,True
70,2000-01,2000-11-19,,New Mexico State,,,Saint Mary's (CA),,W,,82,64,18,,,True
71,2000-01,2000-11-19,,South Carolina State,,,Western Carolina,,W,,61,58,3,,,True
72,2000-01,2000-11-19,,Stephen F. Austin,,,Loyola (IL),,W,,64,60,4,,,True
73,2000-01,2000-11-20,,Arizona,1,,Chaminade,,W,,97,57,40,,,True
74,2000-01,2000-11-20,,Dayton,,,Connecticut,12,W,,80,66,14,,,True
75,2000-01,2000-11-20,,Illinois,8,,Nevada-Las Vegas,,W,,74,69,5,,,True
76,2000-01,2000-11-20,,Maryland,6,,Louisville,,W,,95,73,22,,,True
77,2000-01,2000-11-20,,Morgan State,,,Towson,,W,,59,56,3,,,True
78,2000-01,2000-11-21,,Arizona,1,,Dayton,,W,,76,59,17,,,True
79,2000-01,2000-11-21,,Connecticut,12,,Chaminade,,W,,77,61,16,,,True
80,2000-01,2000-11-21,,Illinois,8,,Maryland,6,W,,90,80,10,,,True
81,2000-01,2000-11-21,,Kentucky,22,,Jacksonville State,,W,,91,48,43,,,True
82,2000-01,2000-11-21,,Louisville,,,Nevada-Las Vegas,,W,,86,85,1,,1,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
84,2000-01,2000-11-22,,Arizona,1,,Illinois,8,W,,79,76,3,,,True
85,2000-01,2000-11-22,,Nevada-Las Vegas,,,Chaminade,,W,,90,78,12,,,True
86,2000-01,2000-11-22,,Connecticut,12,,Louisville,,W,,83,71,12,,,True
87,2000-01,2000-11-22,,Dayton,,,Maryland,6,W,,77,71,6,,,True
88,2000-01,2000-11-22,,Duke,2,,Texas,,W,,95,69,26,,,True
89,2000-01,2000-11-22,,Fresno State,,,NC State,,W,,82,63,19,,,True
90,2000-01,2000-11-22,,Missouri,,,Rhode Island,,W,,70,60,10,,,True
91,2000-01,2000-11-22,,Temple,,,Indiana,,W,,69,61,8,,,True
92,2000-01,2000-11-23,,Georgia,,,Indiana State,,W,,82,64,18,,,True
93,2000-01,2000-11-23,,Memphis,,,Miami (OH),,W,,60,59,1,,,True
94,2000-01,2000-11-23,,Ohio State,,,Florida State,,W,,90,65,25,,,True
95,2000-01,2000-11-23,,Stanford,5,,Old Dominion,,W,,84,60,24,,,True
96,2000-01,2000-11-23,,Syracuse,,,DePaul,21,W,,92,84,8,,,True
97,2000-01,2000-11-24,,Auburn,,,Robert Morris,,W,,89,71,18,,,True
98,2000-01,2000-11-24,,Boston University,,,Quinnipiac,,W,,66,60,6,,,True
99,2000-01,2000-11-24,,College of Charleston,,,Duquesne,,W,,69,66,3,,,True
100,2000-01,2000-11-24,,Creighton,,,Cleveland State,,W,,66,59,7,,,True
101,2000-01,2000-11-24,,DePaul,21,,Florida State,,W,,80,74,6,,,True
102,2000-01,2000-11-24,,Duke,2,,Temple,,W,,63,61,2,,,True
103,2000-01,2000-11-24,,Eastern Washington,,,Bradley,,W,,62,56,6,,,True
0,2000-01,2000-11-24,,Georgetown,,,Central Florida,,W,,77,65,12,,,True
1,2000-01,2000-11-24,,Georgia,,,Utah,13,W,,65,60,5,,,True
2,2000-01,2000-11-24,,Long Beach State,,,San Francisco,,W,,76,74,2,,,True
3,2000-01,2000-11-24,,Miami (OH),,,Old Dominion,,W,,64,57,7,,,True
4,2000-01,2000-11-24,,Missouri,,,Valparaiso,,W,,77,61,16,,,True
5,2000-01,2000-11-24,,Oklahoma,19,,Montana State,,W,,84,76,8,,,True
6,2000-01,2000-11-24,,Oregon State,,,Appalachian State,,W,,60,37,23,,,True
7,2000-01,2000-11-24,,San Diego,,,Elon,,W,,87,66,21,,,True
8,2000-01,2000-11-24,,Stanford,5,,Memphis,,W,,83,60,23,,,True
