,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,playoff
25,1950-51,1951-03-24,,Kansas State,4,,Oklahoma State,2,W,,68,44,24,,,True
26,1950-51,1951-03-24,,St. John's (NY),9,,NC State,8,W,,71,59,12,,,True
27,1950-51,1951-03-27,,Illinois,5,,Oklahoma State,2,W,,61,46,15,,,True
28,1950-51,1951-03-27,,Kentucky,1,,Kansas State,4,W,,68,58,10,,,True
0,1950-51,1951-03-20,,Illinois,5,,Columbia,3,W,,79,71,8,,,True
1,1950-51,1951-03-20,,St. John's (NY),9,,Connecticut,,W,,63,52,11,,,True
2,1950-51,1951-03-20,,Kentucky,1,,Louisville,,W,,79,68,11,,,True
3,1950-51,1951-03-20,,NC State,8,,Villanova,20,W,,67,62,5,,,True
4,1950-51,1951-03-21,,Kansas State,4,,Arizona,12,W,,61,59,2,,,True
5,1950-51,1951-03-21,,Brigham Young,11,,San Jose State,,W,,68,61,7,,,True
6,1950-51,1951-03-22,,Illinois,5,,NC State,8,W,,84,70,14,,,True
7,1950-51,1951-03-22,,Kentucky,1,,St. John's (NY),9,W,,59,43,16,,,True
8,1950-51,1951-03-22,,Oklahoma State,2,,Montana State,,W,,50,46,4,,,True
9,1950-51,1951-03-22,,Washington,15,,Texas A&M,,W,,62,40,22,,,True
10,1950-51,1951-03-23,,Kansas State,4,,Brigham Young,11,W,,64,54,10,,,True
11,1950-51,1951-03-23,,Oklahoma State,2,,Washington,15,W,,61,57,4,,,True
12,1950-51,1951-03-24,,Washington,15,,Brigham Young,11,W,,80,67,13,,,True
13,1950-51,1951-03-24,,Kentucky,1,,Illinois,5,W,,76,74,2,,,True
14,1950-51,1951-03-24,,Kansas State,4,,Oklahoma State,2,W,,68,44,24,,,True
15,1950-51,1951-03-24,,St. John's (NY),9,,NC State,8,W,,71,59,12,,,True
16,1950-51,1951-03-27,,Illinois,5,,Oklahoma State,2,W,,61,46,15,,,True
17,1950-51,1951-03-27,,Kentucky,1,,Kansas State,4,W,,68,58,10,,,True
18,1951-52,1952-03-21,,Illinois,2,,Dayton,11,W,,80,61,19,,,True
19,1951-52,1952-03-21,,Duquesne,4,,Princeton,,W,,60,49,11,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,1951-52,1952-03-21,,Kansas,8,,TCU,,W,,68,64,4,,,True
22,1951-52,1952-03-21,,Kentucky,1,,Penn State,,W,,82,54,28,,,True
23,1951-52,1952-03-21,,Saint Louis,5,,New Mexico State,,W,,62,53,9,,,True
24,1951-52,1952-03-21,,St. John's (NY),10,,NC State,,W,,60,49,11,,,True
25,1951-52,1952-03-21,,Wyoming,16,,Oklahoma City,,W,,54,48,6,,,True
26,1951-52,1952-03-21,,Santa Clara,,,UCLA,19,W,,68,59,9,,,True
27,1951-52,1952-03-22,,Dayton,11,,Princeton,,W,,77,61,16,,,True
28,1951-52,1952-03-22,,Illinois,2,,Duquesne,4,W,,74,68,6,,,True
29,1951-52,1952-03-22,,Kansas,8,,Saint Louis,5,W,,74,55,19,,,True
30,1951-52,1952-03-22,,St. John's (NY),10,,Kentucky,1,W,,64,57,7,,,True
31,1951-52,1952-03-22,,TCU,,,New Mexico State,,W,,61,44,17,,,True
32,1951-52,1952-03-22,,NC State,,,Penn State,,W,,69,60,9,,,True
33,1951-52,1952-03-22,,Oklahoma City,,,UCLA,19,W,,55,53,2,,,True
34,1951-52,1952-03-22,,Santa Clara,,,Wyoming,16,W,,56,53,3,,,True
35,1951-52,1952-03-25,,St. John's (NY),10,,Illinois,2,W,,61,59,2,,,True
36,1951-52,1952-03-25,,Kansas,8,,Santa Clara,,W,,74,55,19,,,True
37,1951-52,1952-03-26,,Illinois,2,,Santa Clara,,W,,67,64,3,,,True
38,1951-52,1952-03-26,,Kansas,8,,St. John's (NY),10,W,,80,63,17,,,True
0,1951-52,1952-03-21,,Illinois,2,,Dayton,11,W,,80,61,19,,,True
1,1951-52,1952-03-21,,Duquesne,4,,Princeton,,W,,60,49,11,,,True
2,1951-52,1952-03-21,,Kansas,8,,TCU,,W,,68,64,4,,,True
3,1951-52,1952-03-21,,Kentucky,1,,Penn State,,W,,82,54,28,,,True
4,1951-52,1952-03-21,,Saint Louis,5,,New Mexico State,,W,,62,53,9,,,True
5,1951-52,1952-03-21,,St. John's (NY),10,,NC State,,W,,60,49,11,,,True
6,1951-52,1952-03-21,,Wyoming,16,,Oklahoma City,,W,,54,48,6,,,True
7,1951-52,1952-03-21,,Santa Clara,,,UCLA,19,W,,68,59,9,,,True
8,1951-52,1952-03-22,,Dayton,11,,Princeton,,W,,77,61,16,,,True
9,1951-52,1952-03-22,,Illinois,2,,Duquesne,4,W,,74,68,6,,,True
10,1951-52,1952-03-22,,Kansas,8,,Saint Louis,5,W,,74,55,19,,,True
11,1951-52,1952-03-22,,St. John's (NY),10,,Kentucky,1,W,,64,57,7,,,True
12,1951-52,1952-03-22,,TCU,,,New Mexico State,,W,,61,44,17,,,True
13,1951-52,1952-03-22,,NC State,,,Penn State,,W,,69,60,9,,,True
14,1951-52,1952-03-22,,Oklahoma City,,,UCLA,19,W,,55,53,2,,,True
15,1951-52,1952-03-22,,Santa Clara,,,Wyoming,16,W,,56,53,3,,,True
16,1951-52,1952-03-25,,St. John's (NY),10,,Illinois,2,W,,61,59,2,,,True
17,1951-52,1952-03-25,,Kansas,8,,Santa Clara,,W,,74,55,19,,,True
18,1951-52,1952-03-26,,Illinois,2,,Santa Clara,,W,,67,64,3,,,True
19,1951-52,1952-03-26,,Kansas,8,,St. John's (NY),10,W,,80,63,17,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,1952-53,1953-03-10,,DePaul,,,Miami (OH),,W,,74,72,2,,,True
22,1952-53,1953-03-10,,Notre Dame,17,,Eastern Kentucky,,W,,72,57,15,,,True
23,1952-53,1953-03-10,,Santa Clara,,,Hardin-Simmons,,W,,81,56,25,,,True
24,1952-53,1953-03-10,,Holy Cross,,,Navy,19,W,,87,74,13,,,True
25,1952-53,1953-03-10,,Seattle,14,,Idaho State,,W,,88,77,11,,,True
26,1952-53,1953-03-13,,Indiana,1,,DePaul,,W,,82,80,2,,,True
27,1952-53,1953-03-13,,Holy Cross,,,Wake Forest,12,W,,79,71,8,,,True
28,1952-53,1953-03-13,,Kansas,5,,Oklahoma City,10,W,,73,65,8,,,True
29,1952-53,1953-03-13,,Louisiana State,7,,Lebanon Valley,,W,,89,76,13,,,True
30,1952-53,1953-03-13,,Notre Dame,17,,Pennsylvania,,W,,69,57,12,,,True
31,1952-53,1953-03-13,,Oklahoma State,6,,TCU,,W,,71,54,17,,,True
32,1952-53,1953-03-13,,Santa Clara,,,Wyoming,16,W,,67,52,15,,,True
33,1952-53,1953-03-13,,Washington,2,,Seattle,14,W,,92,70,22,,,True
34,1952-53,1953-03-14,,Pennsylvania,,,DePaul,,W,,90,70,20,,,True
35,1952-53,1953-03-14,,Louisiana State,7,,Holy Cross,,W,,81,73,8,,,True
36,1952-53,1953-03-14,,Indiana,1,,Notre Dame,17,W,,79,66,13,,,True
37,1952-53,1953-03-14,,Kansas,5,,Oklahoma State,6,W,,61,55,6,,,True
38,1952-53,1953-03-14,,Wake Forest,12,,Lebanon Valley,,W,,91,71,20,,,True
39,1952-53,1953-03-14,,TCU,,,Oklahoma City,10,W,,58,56,2,,,True
40,1952-53,1953-03-14,,Washington,2,,Santa Clara,,W,,74,62,12,,,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
42,1952-53,1953-03-14,,Seattle,14,,Wyoming,16,W,,80,64,16,,,True
43,1952-53,1953-03-17,,Indiana,1,,Louisiana State,7,W,,80,67,13,,,True
44,1952-53,1953-03-17,,Kansas,5,,Washington,2,W,,79,53,26,,,True
45,1952-53,1953-03-18,,Indiana,1,,Kansas,5,W,,69,68,1,,,True
46,1952-53,1953-03-18,,Washington,2,,Louisiana State,7,W,,88,69,19,,,True
0,1952-53,1953-03-10,,DePaul,,,Miami (OH),,W,,74,72,2,,,True
1,1952-53,1953-03-10,,Notre Dame,17,,Eastern Kentucky,,W,,72,57,15,,,True
2,1952-53,1953-03-10,,Santa Clara,,,Hardin-Simmons,,W,,81,56,25,,,True
3,1952-53,1953-03-10,,Holy Cross,,,Navy,19,W,,87,74,13,,,True
4,1952-53,1953-03-10,,Seattle,14,,Idaho State,,W,,88,77,11,,,True
5,1952-53,1953-03-13,,Indiana,1,,DePaul,,W,,82,80,2,,,True
6,1952-53,1953-03-13,,Holy Cross,,,Wake Forest,12,W,,79,71,8,,,True
7,1952-53,1953-03-13,,Kansas,5,,Oklahoma City,10,W,,73,65,8,,,True
8,1952-53,1953-03-13,,Louisiana State,7,,Lebanon Valley,,W,,89,76,13,,,True
9,1952-53,1953-03-13,,Notre Dame,17,,Pennsylvania,,W,,69,57,12,,,True
10,1952-53,1953-03-13,,Oklahoma State,6,,TCU,,W,,71,54,17,,,True
11,1952-53,1953-03-13,,Santa Clara,,,Wyoming,16,W,,67,52,15,,,True
12,1952-53,1953-03-13,,Washington,2,,Seattle,14,W,,92,70,22,,,True
13,1952-53,1953-03-14,,Pennsylvania,,,DePaul,,W,,90,70,20,,,True
14,1952-53,1953-03-14,,Louisiana State,7,,Holy Cross,,W,,81,73,8,,,True
15,1952-53,1953-03-14,,Indiana,1,,Notre Dame,17,W,,79,66,13,,,True
16,1952-53,1953-03-14,,Kansas,5,,Oklahoma State,6,W,,61,55,6,,,True
17,1952-53,1953-03-14,,Wake Forest,12,,Lebanon Valley,,W,,91,71,20,,,True
18,1952-53,1953-03-14,,TCU,,,Oklahoma City,10,W,,58,56,2,,,True
19,1952-53,1953-03-14,,Washington,2,,Santa Clara,,W,,74,62,12,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,1952-53,1953-03-14,,Seattle,14,,Wyoming,16,W,,80,64,16,,,True
22,1952-53,1953-03-17,,Indiana,1,,Louisiana State,7,W,,80,67,13,,,True
23,1952-53,1953-03-17,,Kansas,5,,Washington,2,W,,79,53,26,,,True
24,1952-53,1953-03-18,,Indiana,1,,Kansas,5,W,,69,68,1,,,True
25,1952-53,1953-03-18,,Washington,2,,Louisiana State,7,W,,88,69,19,,,True
26,1953-54,1954-03-08,,Bradley,,,Oklahoma City,,W,,61,55,6,,,True
27,1953-54,1954-03-08,,Navy,,,Connecticut,,W,,85,80,5,,,True
28,1953-54,1954-03-08,,La Salle,12,,Fordham,,W,,76,74,2,,1,True
29,1953-54,1954-03-08,,NC State,10,,George Washington,7,W,,75,73,2,,,True
30,1953-54,1954-03-09,,Notre Dame,6,,Loyola (LA),,W,,80,70,10,,,True
31,1953-54,1954-03-09,,Penn State,,,Toledo,,W,,62,50,12,,,True
32,1953-54,1954-03-09,,Santa Clara,,,Texas Tech,,W,,73,64,9,,,True
33,1953-54,1954-03-12,,Bradley,,,Colorado,,W,,76,64,12,,,True
34,1953-54,1954-03-12,,Santa Clara,,,Colorado State,19,W,,73,50,23,,,True
35,1953-54,1954-03-12,,Navy,,,Cornell,,W,,69,67,2,,,True
36,1953-54,1954-03-12,,Southern California,,,Idaho State,,W,,73,59,14,,,True
37,1953-54,1954-03-12,,Notre Dame,6,,Indiana,2,W,,65,64,1,,,True
38,1953-54,1954-03-12,,La Salle,12,,NC State,10,W,,88,81,7,,,True
39,1953-54,1954-03-12,,Penn State,,,Louisiana State,8,W,,78,70,8,,,True
40,1953-54,1954-03-12,,Oklahoma State,5,,Rice,,W,,51,45,6,,,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
42,1953-54,1954-03-13,,Bradley,,,Oklahoma State,5,W,,71,57,14,,,True
43,1953-54,1954-03-13,,Rice,,,Colorado,,W,,78,55,23,,,True
44,1953-54,1954-03-13,,NC State,10,,Cornell,,W,,65,54,11,,,True
45,1953-54,1954-03-13,,Indiana,2,,Louisiana State,8,W,,73,62,11,,,True
46,1953-54,1954-03-13,,La Salle,12,,Navy,,W,,64,48,16,,,True
47,1953-54,1954-03-13,,Penn State,,,Notre Dame,6,W,,71,63,8,,,True
48,1953-54,1954-03-13,,Southern California,,,Santa Clara,,W,,66,65,1,,2,True
49,1953-54,1954-03-19,,Bradley,,,Southern California,,W,,74,72,2,,,True
50,1953-54,1954-03-19,,La Salle,12,,Penn State,,W,,69,54,15,,,True
51,1953-54,1954-03-20,,La Salle,12,,Bradley,,W,,92,76,16,,,True
52,1953-54,1954-03-20,,Penn State,,,Southern California,,W,,70,61,9,,,True
0,1953-54,1954-03-08,,Bradley,,,Oklahoma City,,W,,61,55,6,,,True
1,1953-54,1954-03-08,,Navy,,,Connecticut,,W,,85,80,5,,,True
2,1953-54,1954-03-08,,La Salle,12,,Fordham,,W,,76,74,2,,1,True
3,1953-54,1954-03-08,,NC State,10,,George Washington,7,W,,75,73,2,,,True
4,1953-54,1954-03-09,,Notre Dame,6,,Loyola (LA),,W,,80,70,10,,,True
5,1953-54,1954-03-09,,Penn State,,,Toledo,,W,,62,50,12,,,True
6,1953-54,1954-03-09,,Santa Clara,,,Texas Tech,,W,,73,64,9,,,True
7,1953-54,1954-03-12,,Bradley,,,Colorado,,W,,76,64,12,,,True
8,1953-54,1954-03-12,,Santa Clara,,,Colorado State,19,W,,73,50,23,,,True
9,1953-54,1954-03-12,,Navy,,,Cornell,,W,,69,67,2,,,True
10,1953-54,1954-03-12,,Southern California,,,Idaho State,,W,,73,59,14,,,True
11,1953-54,1954-03-12,,Notre Dame,6,,Indiana,2,W,,65,64,1,,,True
12,1953-54,1954-03-12,,La Salle,12,,NC State,10,W,,88,81,7,,,True
13,1953-54,1954-03-12,,Penn State,,,Louisiana State,8,W,,78,70,8,,,True
14,1953-54,1954-03-12,,Oklahoma State,5,,Rice,,W,,51,45,6,,,True
15,1953-54,1954-03-13,,Bradley,,,Oklahoma State,5,W,,71,57,14,,,True
16,1953-54,1954-03-13,,Rice,,,Colorado,,W,,78,55,23,,,True
17,1953-54,1954-03-13,,NC State,10,,Cornell,,W,,65,54,11,,,True
18,1953-54,1954-03-13,,Indiana,2,,Louisiana State,8,W,,73,62,11,,,True
19,1953-54,1954-03-13,,La Salle,12,,Navy,,W,,64,48,16,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,1953-54,1954-03-13,,Penn State,,,Notre Dame,6,W,,71,63,8,,,True
22,1953-54,1954-03-13,,Southern California,,,Santa Clara,,W,,66,65,1,,2,True
23,1953-54,1954-03-19,,Bradley,,,Southern California,,W,,74,72,2,,,True
24,1953-54,1954-03-19,,La Salle,12,,Penn State,,W,,69,54,15,,,True
25,1953-54,1954-03-20,,La Salle,12,,Bradley,,W,,92,76,16,,,True
26,1953-54,1954-03-20,,Penn State,,,Southern California,,W,,70,61,9,,,True
27,1954-55,1955-03-08,,Bradley,,,Oklahoma City,,W,,69,65,4,,,True
28,1954-55,1955-03-08,,Canisius,,,Williams,,W,,73,60,13,,,True
29,1954-55,1955-03-08,,Villanova,,,Duke,,W,,74,73,1,,,True
30,1954-55,1955-03-08,,Seattle,,,Idaho State,,W,,80,63,17,,,True
31,1954-55,1955-03-08,,La Salle,3,,West Virginia,19,W,,95,61,34,,,True
32,1954-55,1955-03-08,,Marquette,8,,Miami (OH),,W,,90,79,11,,1,True
33,1954-55,1955-03-08,,San Francisco,1,,West Texas A&M,,W,,89,66,23,,,True
34,1954-55,1955-03-09,,Penn State,,,Memphis,,W,,59,55,4,,,True
35,1954-55,1955-03-11,,Bradley,,,Southern Methodist,,W,,81,79,2,,,True
36,1954-55,1955-03-11,,Canisius,,,Villanova,,W,,73,71,2,,,True
37,1954-55,1955-03-11,,Colorado,15,,Tulsa,16,W,,69,59,10,,,True
38,1954-55,1955-03-11,,Iowa,5,,Penn State,,W,,82,53,29,,,True
39,1954-55,1955-03-11,,Marquette,8,,Kentucky,2,W,,79,71,8,,,True
40,1954-55,1955-03-11,,La Salle,3,,Princeton,,W,,73,46,27,,,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
42,1954-55,1955-03-11,,Oregon State,10,,Seattle,,W,,83,71,12,,,True
43,1954-55,1955-03-11,,San Francisco,1,,Utah,7,W,,78,59,19,,,True
44,1954-55,1955-03-12,,Colorado,15,,Bradley,,W,,93,81,12,,,True
45,1954-55,1955-03-12,,La Salle,3,,Canisius,,W,,99,64,35,,,True
46,1954-55,1955-03-12,,Iowa,5,,Marquette,8,W,,86,81,5,,,True
47,1954-55,1955-03-12,,Kentucky,2,,Penn State,,W,,84,59,25,,,True
48,1954-55,1955-03-12,,San Francisco,1,,Oregon State,10,W,,57,56,1,,,True
49,1954-55,1955-03-12,,Villanova,,,Princeton,,W,,64,57,7,,,True
50,1954-55,1955-03-12,,Utah,7,,Seattle,,W,,108,85,23,,,True
51,1954-55,1955-03-12,,Tulsa,16,,Southern Methodist,,W,,68,67,1,,,True
52,1954-55,1955-03-18,,San Francisco,1,,Colorado,15,W,,62,50,12,,,True
53,1954-55,1955-03-18,,La Salle,3,,Iowa,5,W,,76,73,3,,,True
54,1954-55,1955-03-19,,Colorado,15,,Iowa,5,W,,75,54,21,,,True
55,1954-55,1955-03-19,,San Francisco,1,,La Salle,3,W,,77,63,14,,,True
0,1954-55,1955-03-08,,Bradley,,,Oklahoma City,,W,,69,65,4,,,True
1,1954-55,1955-03-08,,Canisius,,,Williams,,W,,73,60,13,,,True
2,1954-55,1955-03-08,,Villanova,,,Duke,,W,,74,73,1,,,True
3,1954-55,1955-03-08,,Seattle,,,Idaho State,,W,,80,63,17,,,True
4,1954-55,1955-03-08,,La Salle,3,,West Virginia,19,W,,95,61,34,,,True
5,1954-55,1955-03-08,,Marquette,8,,Miami (OH),,W,,90,79,11,,1,True
6,1954-55,1955-03-08,,San Francisco,1,,West Texas A&M,,W,,89,66,23,,,True
7,1954-55,1955-03-09,,Penn State,,,Memphis,,W,,59,55,4,,,True
8,1954-55,1955-03-11,,Bradley,,,Southern Methodist,,W,,81,79,2,,,True
9,1954-55,1955-03-11,,Canisius,,,Villanova,,W,,73,71,2,,,True
10,1954-55,1955-03-11,,Colorado,15,,Tulsa,16,W,,69,59,10,,,True
11,1954-55,1955-03-11,,Iowa,5,,Penn State,,W,,82,53,29,,,True
12,1954-55,1955-03-11,,Marquette,8,,Kentucky,2,W,,79,71,8,,,True
13,1954-55,1955-03-11,,La Salle,3,,Princeton,,W,,73,46,27,,,True
14,1954-55,1955-03-11,,Oregon State,10,,Seattle,,W,,83,71,12,,,True
15,1954-55,1955-03-11,,San Francisco,1,,Utah,7,W,,78,59,19,,,True
16,1954-55,1955-03-12,,Colorado,15,,Bradley,,W,,93,81,12,,,True
17,1954-55,1955-03-12,,La Salle,3,,Canisius,,W,,99,64,35,,,True
18,1954-55,1955-03-12,,Iowa,5,,Marquette,8,W,,86,81,5,,,True
19,1954-55,1955-03-12,,Kentucky,2,,Penn State,,W,,84,59,25,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,1954-55,1955-03-12,,San Francisco,1,,Oregon State,10,W,,57,56,1,,,True
22,1954-55,1955-03-12,,Villanova,,,Princeton,,W,,64,57,7,,,True
23,1954-55,1955-03-12,,Utah,7,,Seattle,,W,,108,85,23,,,True
24,1954-55,1955-03-12,,Tulsa,16,,Southern Methodist,,W,,68,67,1,,,True
25,1954-55,1955-03-18,,San Francisco,1,,Colorado,15,W,,62,50,12,,,True
26,1954-55,1955-03-18,,La Salle,3,,Iowa,5,W,,76,73,3,,,True
27,1954-55,1955-03-19,,Colorado,15,,Iowa,5,W,,75,54,21,,,True
28,1954-55,1955-03-19,,San Francisco,1,,La Salle,3,W,,77,63,14,,,True
29,1955-56,1956-03-12,,Canisius,,,NC State,2,W,,79,78,1,,4,True
30,1955-56,1956-03-12,,Temple,15,,Holy Cross,14,W,,74,72,2,,,True
31,1955-56,1956-03-12,,Seattle,,,Idaho State,,W,,68,66,2,,,True
32,1955-56,1956-03-12,,Morehead State,,,Marshall,,W,,107,92,15,,,True
33,1955-56,1956-03-13,,Connecticut,,,Manhattan,,W,,84,75,9,,,True
34,1955-56,1956-03-13,,Dartmouth,,,West Virginia,20,W,,61,59,2,,,True
35,1955-56,1956-03-13,,Oklahoma City,11,,Memphis,,W,,97,81,16,,,True
36,1955-56,1956-03-13,,Southern Methodist,7,,Texas Tech,,W,,68,67,1,,,True
37,1955-56,1956-03-16,,Canisius,,,Dartmouth,,W,,66,58,8,,,True
38,1955-56,1956-03-16,,Temple,15,,Connecticut,,W,,65,59,6,,,True
39,1955-56,1956-03-16,,Southern Methodist,7,,Houston,,W,,89,74,15,,,True
40,1955-56,1956-03-16,,Iowa,4,,Morehead State,,W,,97,83,14,,,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
42,1955-56,1956-03-16,,Oklahoma City,11,,Kansas State,,W,,97,93,4,,,True
43,1955-56,1956-03-16,,Kentucky,9,,Wayne State (MI),,W,,84,64,20,,,True
44,1955-56,1956-03-16,,San Francisco,1,,UCLA,8,W,,72,61,11,,,True
45,1955-56,1956-03-16,,Utah,18,,Seattle,,W,,81,72,9,,,True
46,1955-56,1956-03-17,,Temple,15,,Canisius,,W,,60,58,2,,,True
47,1955-56,1956-03-17,,Dartmouth,,,Connecticut,,W,,85,64,21,,,True
48,1955-56,1956-03-17,,Kansas State,,,Houston,,W,,89,70,19,,,True
49,1955-56,1956-03-17,,Iowa,4,,Kentucky,9,W,,89,77,12,,,True
50,1955-56,1956-03-17,,Morehead State,,,Wayne State (MI),,W,,95,84,11,,,True
51,1955-56,1956-03-17,,Southern Methodist,7,,Oklahoma City,11,W,,84,63,21,,,True
52,1955-56,1956-03-17,,San Francisco,1,,Utah,18,W,,92,77,15,,,True
53,1955-56,1956-03-17,,UCLA,8,,Seattle,,W,,94,70,24,,,True
54,1955-56,1956-03-22,,Iowa,4,,Temple,15,W,,83,76,7,,,True
55,1955-56,1956-03-22,,San Francisco,1,,Southern Methodist,7,W,,86,68,18,,,True
56,1955-56,1956-03-23,,San Francisco,1,,Iowa,4,W,,83,71,12,,,True
57,1955-56,1956-03-23,,Temple,15,,Southern Methodist,7,W,,90,81,9,,,True
0,1955-56,1956-03-12,,Canisius,,,NC State,2,W,,79,78,1,,4,True
1,1955-56,1956-03-12,,Temple,15,,Holy Cross,14,W,,74,72,2,,,True
2,1955-56,1956-03-12,,Seattle,,,Idaho State,,W,,68,66,2,,,True
3,1955-56,1956-03-12,,Morehead State,,,Marshall,,W,,107,92,15,,,True
4,1955-56,1956-03-13,,Connecticut,,,Manhattan,,W,,84,75,9,,,True
5,1955-56,1956-03-13,,Dartmouth,,,West Virginia,20,W,,61,59,2,,,True
6,1955-56,1956-03-13,,Oklahoma City,11,,Memphis,,W,,97,81,16,,,True
7,1955-56,1956-03-13,,Southern Methodist,7,,Texas Tech,,W,,68,67,1,,,True
8,1955-56,1956-03-16,,Canisius,,,Dartmouth,,W,,66,58,8,,,True
9,1955-56,1956-03-16,,Temple,15,,Connecticut,,W,,65,59,6,,,True
10,1955-56,1956-03-16,,Southern Methodist,7,,Houston,,W,,89,74,15,,,True
11,1955-56,1956-03-16,,Iowa,4,,Morehead State,,W,,97,83,14,,,True
12,1955-56,1956-03-16,,Oklahoma City,11,,Kansas State,,W,,97,93,4,,,True
13,1955-56,1956-03-16,,Kentucky,9,,Wayne State (MI),,W,,84,64,20,,,True
14,1955-56,1956-03-16,,San Francisco,1,,UCLA,8,W,,72,61,11,,,True
15,1955-56,1956-03-16,,Utah,18,,Seattle,,W,,81,72,9,,,True
16,1955-56,1956-03-17,,Temple,15,,Canisius,,W,,60,58,2,,,True
17,1955-56,1956-03-17,,Dartmouth,,,Connecticut,,W,,85,64,21,,,True
18,1955-56,1956-03-17,,Kansas State,,,Houston,,W,,89,70,19,,,True
19,1955-56,1956-03-17,,Iowa,4,,Kentucky,9,W,,89,77,12,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,1955-56,1956-03-17,,Morehead State,,,Wayne State (MI),,W,,95,84,11,,,True
