,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,playoff
0,1949-50,1950-03-23,,City College of New York,,,Ohio State,2.0,W,,56,55,1,,,True
1,1949-50,1950-03-24,,Baylor,,,Brigham Young,,W,,56,55,1,,,True
2,1949-50,1950-03-24,,Bradley,1.0,,UCLA,7.0,W,,73,59,14,,,True
3,1949-50,1950-03-24,,NC State,5.0,,Holy Cross,4.0,W,,87,74,13,,,True
4,1949-50,1950-03-25,,Bradley,1.0,,Baylor,,W,,68,66,2,,,True
5,1949-50,1950-03-25,,Brigham Young,,,UCLA,7.0,W,,83,62,21,,,True
6,1949-50,1950-03-25,,City College of New York,,,NC State,5.0,W,,78,73,5,,,True
7,1949-50,1950-03-25,,Ohio State,2.0,,Holy Cross,4.0,W,,72,52,20,,,True
8,1949-50,1950-03-28,,NC State,5.0,,Baylor,,W,,53,41,12,,,True
9,1949-50,1950-03-28,,City College of New York,,,Bradley,1.0,W,,71,68,3,,,True
0,1949-50,1950-03-23,,City College of New York,,,Ohio State,2,W,,56,55,1,,,True
1,1949-50,1950-03-24,,Baylor,,,Brigham Young,,W,,56,55,1,,,True
2,1949-50,1950-03-24,,Bradley,1,,UCLA,7,W,,73,59,14,,,True
3,1949-50,1950-03-24,,NC State,5,,Holy Cross,4,W,,87,74,13,,,True
4,1949-50,1950-03-25,,Bradley,1,,Baylor,,W,,68,66,2,,,True
5,1949-50,1950-03-25,,Brigham Young,,,UCLA,7,W,,83,62,21,,,True
6,1949-50,1950-03-25,,City College of New York,,,NC State,5,W,,78,73,5,,,True
7,1949-50,1950-03-25,,Ohio State,2,,Holy Cross,4,W,,72,52,20,,,True
8,1949-50,1950-03-28,,NC State,5,,Baylor,,W,,53,41,12,,,True
9,1949-50,1950-03-28,,City College of New York,,,Bradley,1,W,,71,68,3,,,True
10,1950-51,1951-03-20,,Illinois,5,,Columbia,3,W,,79,71,8,,,True
11,1950-51,1951-03-20,,St. John's (NY),9,,Connecticut,,W,,63,52,11,,,True
12,1950-51,1951-03-20,,Kentucky,1,,Louisville,,W,,79,68,11,,,True
13,1950-51,1951-03-20,,NC State,8,,Villanova,20,W,,67,62,5,,,True
14,1950-51,1951-03-21,,Kansas State,4,,Arizona,12,W,,61,59,2,,,True
15,1950-51,1951-03-21,,Brigham Young,11,,San Jose State,,W,,68,61,7,,,True
16,1950-51,1951-03-22,,Illinois,5,,NC State,8,W,,84,70,14,,,True
17,1950-51,1951-03-22,,Kentucky,1,,St. John's (NY),9,W,,59,43,16,,,True
18,1950-51,1951-03-22,,Oklahoma State,2,,Montana State,,W,,50,46,4,,,True
19,1950-51,1951-03-22,,Washington,15,,Texas A&M,,W,,62,40,22,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,1950-51,1951-03-23,,Kansas State,4,,Brigham Young,11,W,,64,54,10,,,True
22,1950-51,1951-03-23,,Oklahoma State,2,,Washington,15,W,,61,57,4,,,True
23,1950-51,1951-03-24,,Washington,15,,Brigham Young,11,W,,80,67,13,,,True
24,1950-51,1951-03-24,,Kentucky,1,,Illinois,5,W,,76,74,2,,,True
