,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,playoff
38,1999-00,2000-03-18,,UCLA,,,Maryland,17,W,,105,70,35,,,True
39,1999-00,2000-03-18,,Michigan State,2,,Utah,,W,,73,61,12,,,True
40,1999-00,2000-03-18,,Purdue,25,,Oklahoma,12,W,,66,62,4,,,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
42,1999-00,2000-03-19,,Tulsa,18,,Cincinnati,7,W,,69,61,8,,,True
43,1999-00,2000-03-19,,Tennessee,11,,Connecticut,20,W,,65,51,14,,,True
44,1999-00,2000-03-19,,Duke,1,,Kansas,,W,,69,64,5,,,True
45,1999-00,2000-03-19,,Florida,13,,Illinois,21,W,,93,76,17,,,True
46,1999-00,2000-03-19,,Miami (FL),23,,Ohio State,8,W,,75,62,13,,,True
47,1999-00,2000-03-19,,North Carolina,,,Stanford,3,W,,60,53,7,,,True
48,1999-00,2000-03-19,,Oklahoma State,14,,Pepperdine,,W,,75,67,8,,,True
49,1999-00,2000-03-19,,Seton Hall,,,Temple,5,W,,67,65,2,,1,True
50,1999-00,2000-03-23,,Purdue,25,,Gonzaga,,W,,75,66,9,,,True
51,1999-00,2000-03-23,,Iowa State,6,,UCLA,,W,,80,56,24,,,True
52,1999-00,2000-03-23,,Wisconsin,,,Louisiana State,10,W,,61,48,13,,,True
53,1999-00,2000-03-23,,Michigan State,2,,Syracuse,16,W,,75,58,17,,,True
54,1999-00,2000-03-24,,Florida,13,,Duke,1,W,,87,78,9,,,True
55,1999-00,2000-03-24,,Tulsa,18,,Miami (FL),23,W,,80,71,9,,,True
56,1999-00,2000-03-24,,North Carolina,,,Tennessee,11,W,,74,69,5,,,True
57,1999-00,2000-03-24,,Oklahoma State,14,,Seton Hall,,W,,68,66,2,,,True
58,1999-00,2000-03-25,,Michigan State,2,,Iowa State,6,W,,75,64,11,,,True
59,1999-00,2000-03-25,,Wisconsin,,,Purdue,25,W,,64,60,4,,,True
60,1999-00,2000-03-26,,Florida,13,,Oklahoma State,14,W,,77,65,12,,,True
61,1999-00,2000-03-26,,North Carolina,,,Tulsa,18,W,,59,55,4,,,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
63,1999-00,2000-04-01,,Florida,13,,North Carolina,,W,,71,59,12,,,True
64,1999-00,2000-04-01,,Michigan State,2,,Wisconsin,,W,,53,41,12,,,True
65,1999-00,2000-04-03,,Michigan State,2,,Florida,13,W,,89,76,13,,,True
66,2000-01,2001-03-13,,Northwestern State,,,Winthrop,,W,,71,67,4,,,True
67,2000-01,2001-03-15,,Georgetown,21,,Arkansas,,W,,63,61,2,,,True
68,2000-01,2001-03-15,,Boston College,7,,Southern Utah,,W,,68,65,3,,,True
69,2000-01,2001-03-15,,Cincinnati,,,Brigham Young,,W,,84,59,25,,,True
70,2000-01,2001-03-15,,Iowa,24,,Creighton,,W,,69,56,13,,,True
71,2000-01,2001-03-15,,Duke,1,,Monmouth,,W,,95,52,43,,,True
72,2000-01,2001-03-15,,Maryland,11,,George Mason,,W,,83,80,3,,,True
73,2000-01,2001-03-15,,Missouri,,,Georgia,,W,,70,68,2,,,True
74,2000-01,2001-03-15,,Georgia State,,,Wisconsin,25,W,,50,49,1,,,True
75,2000-01,2001-03-15,,Saint Joseph's,22,,Georgia Tech,,W,,66,62,4,,,True
76,2000-01,2001-03-15,,Hampton,,,Iowa State,10,W,,58,57,1,,,True
